segment_id,latitude,longitude,upstream_npdes_count,upstream_npdes_pfas_count,nearest_pfas_facility_km,upstream_discharge_volume_m3,pfas_industry_density,afff_site_nearby,wwtp_upstream,landfill_upstream,mean_annual_flow_m3s,low_flow_7q10_m3s,stream_order,watershed_area_km2,baseflow_index,mean_velocity_ms,pct_urban,pct_agriculture,pct_forest,pct_impervious,population_density,airport_within_10km,fire_training_site,ph,temperature_c,dissolved_organic_carbon_mgl,total_organic_carbon_mgl,conductivity_us_cm,water_pfas_ng_l
seg_000060,33.939577662858085,-72.34984786828964,8,0,8.48,516.0,1.156,0,0,1,38.75,8.44,2,1787.9,0.238,1.156,6.8,39.9,53.9,2.3,0.9,0,0,7.3,17.9,5.7,6.22,568.5,3.2
seg_000061,31.241027730799605,-119.92982514347713,1,0,85.91,226.0,1.333,0,0,1,4.65,0.766,1,42.9,0.716,0.143,29.9,73.6,0.0,12.9,2.5,1,0,6.72,14.5,1.98,2.06,189.1,17.87
seg_000062,44.06096271049437,-70.68338678400691,3,0,57.89,1011.0,0.434,0,0,0,2.5,0.662,1,122.2,0.695,1.465,13.3,58.7,20.5,6.2,1.6,1,0,7.4,16.8,1.91,2.12,102.8,4.1
seg_000063,33.205326513952556,-77.1189791918159,4,0,11.33,19112.0,0.049,0,0,0,5.73,0.288,5,87.0,0.303,1.988,16.6,46.1,41.0,12.9,149.1,0,0,7.06,29.9,6.38,9.48,418.8,1.81
seg_000064,31.461493722809756,-79.10397856986532,2,0,19.31,7541.0,1.055,0,1,0,9.72,1.154,3,319.1,0.464,1.753,17.1,23.1,49.6,13.6,529.2,0,0,7.51,20.0,1.78,1.8,682.3,7.0
seg_000065,37.48200991263972,-113.3471422982397,1,0,21.82,4831.0,0.689,0,0,0,4.74,0.754,2,93.5,0.353,0.2,28.7,43.0,33.7,9.7,0.6,0,0,6.07,19.6,2.64,3.28,466.4,11.97
seg_000066,28.24125717441954,-78.30308589222943,2,0,42.34,514.0,0.145,0,0,0,20.07,3.976,3,987.8,0.274,1.875,5.5,34.2,53.2,2.3,14.4,0,0,7.36,15.9,4.06,5.12,155.4,0.79
seg_000067,43.450530557342915,-75.69230138826786,3,0,16.76,493.0,0.814,0,1,1,38.21,11.42,4,1092.9,0.208,0.482,19.3,52.8,38.2,5.9,31.2,0,0,5.98,23.8,2.14,2.67,479.0,4.46
seg_000068,26.71466480463473,-108.22928060165924,4,0,23.72,4381.0,0.319,0,0,0,1.57,0.33,1,18.5,0.382,0.204,58.5,88.5,0.0,35.5,7.7,0,0,8.01,17.9,5.95,7.47,118.3,7.55
seg_000069,47.698399541811895,-69.76891545498522,4,0,15.96,3437.0,1.093,0,0,0,44.67,6.494,4,1925.4,0.763,0.122,14.8,33.4,50.6,9.7,53.6,0,0,7.25,12.9,3.61,5.05,78.1,2.84
seg_000070,42.76162969382312,-122.10811150884847,4,0,43.17,9049.0,0.142,0,1,0,2.39,0.552,6,55.0,0.733,0.903,11.8,45.4,45.0,5.0,595.3,1,0,6.91,11.7,1.45,1.88,437.7,8.67
seg_000071,29.570460675285965,-116.3052633116659,3,0,24.35,74486.0,0.807,0,0,0,17.79,5.265,1,770.8,0.461,0.671,52.6,69.7,0.0,19.5,64.9,0,0,7.31,15.9,5.37,6.98,1196.9,6.15
seg_000072,25.127008693842853,-93.82029399301217,2,0,52.77,472.0,0.622,0,1,0,4.13,0.838,2,103.1,0.373,0.439,1.1,29.4,62.0,0.4,17.1,0,0,6.95,21.0,3.22,4.04,159.3,12.8
seg_000073,43.755612854461184,-91.60403667490604,2,0,1.66,3019.0,0.007,0,1,0,14.48,1.997,1,680.2,0.385,0.264,14.4,36.6,36.9,9.3,54.4,0,0,7.08,8.3,7.09,7.22,121.2,6.84
seg_000074,41.25771890849519,-87.5812951685476,9,0,55.5,6308.0,0.459,0,0,0,4.87,1.073,2,36.5,0.624,0.779,51.1,45.3,0.0,27.0,1.2,0,0,6.89,29.2,6.82,7.76,166.0,30.85
seg_000075,41.76716486494271,-124.01579049970294,10,0,51.34,6123.0,0.629,0,1,1,6.16,1.022,1,303.2,0.36,0.535,42.8,90.9,0.0,30.2,3.5,0,0,5.86,14.0,2.36,2.67,384.5,12.22
seg_000076,42.73921797377675,-69.29872707191645,0,0,51.2,3564.0,0.085,0,0,0,5.82,1.07,2,150.6,0.696,1.312,17.1,65.5,28.7,11.1,18.3,0,0,6.66,16.0,5.04,5.61,282.9,2.14
seg_000077,26.70302698988408,-122.41389062141965,3,1,4.54,3029.0,0.38,0,0,0,9.76,2.82,1,211.0,0.415,0.816,35.6,63.0,14.6,23.2,120.4,0,0,6.96,20.6,7.31,8.18,194.5,12.55
seg_000078,33.24471175651827,-116.70240674204265,1,0,9.17,5126.0,0.181,0,0,0,1.87,0.297,1,12.8,0.24,0.955,18.6,27.6,25.4,10.4,31.6,0,0,7.92,12.0,6.68,6.78,277.2,7.13
seg_000079,27.66498836907798,-124.18715798348869,5,1,117.76,11563.0,0.596,0,1,0,1.11,0.142,1,16.9,0.273,1.556,33.0,48.3,21.8,22.1,285.2,0,0,6.7,20.9,2.24,2.27,125.3,15.29
seg_000080,44.85137879513865,-92.1222108689425,2,0,90.04,776.0,0.388,0,1,0,17.87,3.728,2,340.6,0.663,0.763,36.6,48.3,41.0,22.7,76.5,0,0,7.23,15.8,5.18,7.77,309.7,6.03
seg_000081,39.33585691703383,-70.9285207325836,4,0,7.71,9781.0,0.486,0,0,0,5.76,1.107,2,217.6,0.662,0.415,26.8,47.8,7.9,12.1,149.0,0,0,6.67,14.6,1.06,1.38,265.6,8.26
seg_000082,32.61065457161093,-86.37506436733308,5,0,17.02,11797.0,0.038,0,1,0,27.23,4.066,1,990.5,0.438,0.66,13.3,43.1,54.8,10.4,14.0,0,0,6.71,18.5,1.38,1.72,448.8,7.0
seg_000083,26.461842056578543,-77.28586682813521,1,0,5.09,5690.0,0.074,0,0,0,24.21,3.042,3,1085.6,0.797,1.391,69.9,21.7,18.0,42.6,55.8,1,0,7.53,12.9,2.99,3.31,163.9,6.84
seg_000084,32.15259339946023,-124.22969019940236,4,0,9.14,90471.0,0.402,0,1,0,15.81,2.865,1,747.4,0.332,0.324,24.4,85.0,0.0,18.6,12.3,1,0,7.7,14.9,3.42,5.1,555.4,5.71
seg_000085,32.47921640661518,-93.56311268817589,4,0,6.13,6170.0,0.1,0,0,0,34.2,3.107,2,1289.3,0.318,1.345,28.3,50.3,29.9,22.1,0.1,0,0,7.21,21.8,3.44,3.62,332.3,4.46
seg_000086,41.78094210177547,-98.34534730467973,4,1,2.53,8425.0,0.345,0,0,1,6.36,0.743,2,229.3,0.516,1.481,22.0,62.2,10.6,10.4,107.4,0,0,6.23,18.5,2.23,3.13,913.6,11.32
seg_000087,39.6638218411699,-96.059859235194,2,0,25.99,515.0,0.586,0,0,0,24.95,6.555,5,1134.9,0.533,1.324,32.8,59.5,0.0,24.5,40.9,1,0,7.69,21.2,1.82,2.61,143.5,3.2
seg_000088,45.40589307925551,-120.81163525055909,5,0,8.26,34479.0,0.83,0,0,0,20.74,5.751,3,225.9,0.452,0.79,26.0,62.8,41.7,13.7,2230.9,0,0,6.98,25.2,6.26,8.11,223.1,11.6
seg_000089,35.86094327872483,-85.30274905798017,6,0,145.76,164154.0,0.077,0,0,0,9.12,1.353,4,77.4,0.546,1.342,38.3,24.6,35.4,28.6,46.1,1,0,7.18,20.2,4.02,5.04,101.5,8.12
seg_000090,27.75066765658094,-95.8132159381992,5,1,21.74,5223.0,0.677,0,1,0,18.92,4.892,7,697.2,0.736,1.679,12.9,32.3,52.3,8.0,36.9,0,0,7.67,27.0,2.3,2.87,204.4,12.12
seg_000091,41.404630106128884,-80.6213667080467,2,0,9.91,61.0,0.257,0,0,1,5.2,0.395,1,98.6,0.479,0.699,27.8,50.5,24.1,12.2,70.7,0,0,7.2,28.0,6.24,8.86,129.7,38.39
seg_000092,42.49805611818864,-96.8531432244205,2,0,73.31,31524.0,0.568,0,1,0,16.51,1.718,1,397.7,0.798,0.611,7.6,41.5,55.0,5.7,21.2,0,0,6.73,26.4,4.74,7.01,335.7,4.98
seg_000093,37.90937554409842,-116.33586509886693,3,0,29.09,60260.0,0.078,0,1,1,21.24,4.23,4,687.1,0.769,1.919,63.5,64.1,0.0,44.1,89.4,1,0,7.19,9.0,7.25,10.78,401.1,8.19
seg_000094,42.7322451389549,-87.40109666348633,6,0,2.64,7085.0,0.441,0,1,0,20.86,4.578,3,996.6,0.623,1.793,3.4,76.7,30.2,1.5,37.2,0,0,6.63,22.7,2.2,2.22,242.3,70.99
seg_000095,36.35729871638099,-115.00159099790037,2,0,20.66,1121.0,0.909,0,1,0,28.83,3.256,3,1277.3,0.623,0.613,20.5,23.1,55.4,8.9,14.3,1,0,8.34,18.9,2.8,4.15,122.6,5.66
seg_000096,37.02285507578586,-74.40111532542073,1,0,17.45,47124.0,0.056,1,0,0,32.08,9.141,2,1220.1,0.635,0.424,4.8,66.2,41.8,3.5,31.0,0,0,7.24,13.6,7.57,10.65,99.7,16.4
seg_000097,34.83344342224664,-89.439258133984,0,0,43.46,35891.0,0.879,0,1,0,10.11,2.082,1,246.6,0.717,0.904,29.3,64.8,7.8,16.8,0.9,0,0,8.22,18.8,7.51,8.12,238.5,4.1
seg_000098,25.584639915114188,-115.88217475369666,2,0,35.5,5228.0,0.301,0,1,0,11.55,3.239,3,469.9,0.698,1.06,11.9,36.1,44.9,5.7,51.2,0,0,6.21,23.4,3.58,4.09,141.6,12.61
seg_000099,27.481502820846003,-69.18439266609,1,0,13.9,33726.0,0.867,0,0,0,7.34,0.561,2,96.1,0.632,0.42,26.7,51.3,33.1,12.5,8.6,0,0,6.78,6.3,2.81,3.94,120.7,8.99
seg_000100,25.722871270794887,-94.9348031265514,7,0,19.02,1081.0,1.59,0,0,0,0.55,0.108,2,22.7,0.69,0.147,10.5,49.4,27.2,6.9,59.4,0,1,7.29,8.8,2.93,3.17,406.1,8.61
seg_000101,39.63743945906695,-120.77188979144401,4,0,21.94,52203.0,0.087,0,1,0,6.44,0.873,3,170.0,0.458,1.655,17.9,65.3,31.9,12.6,36.2,1,1,6.99,14.3,3.64,4.29,492.5,3.45
seg_000102,32.23018756475551,-88.6436915439261,1,0,16.47,6218.0,0.561,0,1,0,61.13,16.302,7,1025.3,0.499,1.857,1.6,45.0,62.6,1.0,1.3,0,0,7.42,24.4,2.84,3.25,135.1,1.75
seg_000103,36.697125896788165,-110.314463393257,0,0,3.42,1893.0,0.134,0,1,0,5.59,0.298,3,144.5,0.737,0.231,9.1,75.0,13.7,4.2,0.1,0,0,6.98,18.8,1.93,2.1,310.9,8.05
seg_000104,45.87402890030014,-78.38577979111646,3,0,70.76,5050.0,0.073,0,0,0,10.37,2.508,5,420.0,0.255,1.697,27.3,51.4,27.5,14.2,48.8,0,0,7.79,18.7,0.92,1.19,95.3,1.58
seg_000105,30.733721270424123,-77.56631973316094,4,0,33.49,18893.0,0.495,0,1,0,25.23,2.296,2,872.6,0.666,0.94,15.0,62.1,20.4,7.3,12.2,0,0,6.63,15.2,2.93,3.48,170.8,5.1
seg_000106,34.43880722981948,-68.22105336042961,2,0,19.03,6727.0,0.057,0,0,0,8.25,2.249,5,92.1,0.603,0.439,7.4,91.2,7.4,4.5,64.1,0,0,7.18,9.1,1.92,1.95,175.1,1.69
seg_000107,42.37767618649012,-95.89156720057879,0,0,25.29,127122.0,0.313,0,1,0,6.38,1.057,3,230.5,0.289,0.834,19.6,71.9,0.0,15.1,61.7,0,0,7.39,16.9,1.96,2.37,586.5,6.27
seg_000108,30.262357806307318,-98.61250097579125,1,0,7.19,38382.0,0.505,0,0,0,4.3,0.4,2,182.6,0.45,1.745,0.7,64.1,34.5,0.4,18.3,0,0,7.55,21.0,4.92,7.09,169.7,3.48
seg_000109,26.77053792606224,-81.29841488410412,7,0,22.69,432.0,0.346,0,0,0,2.51,0.639,2,29.6,0.637,0.332,23.9,43.6,24.2,18.1,0.6,0,0,7.52,11.9,3.68,4.92,2494.8,7.45
seg_000110,31.664283417016666,-117.31670193216826,3,0,41.12,24672.0,0.597,0,1,1,2.36,0.414,1,18.3,0.635,0.287,37.8,83.1,2.9,29.7,27.4,0,0,7.22,22.8,1.85,1.96,154.6,9.33
seg_000111,28.7080896068421,-93.2789001999988,4,0,22.89,25302.0,0.808,0,1,0,0.3,0.02,1,2.3,0.615,1.935,24.4,32.4,45.2,15.3,5.6,0,0,6.94,20.3,3.06,3.97,247.3,15.94
seg_000112,46.38304600387918,-93.31763919241064,2,0,19.66,13587.0,1.029,0,0,0,108.25,6.298,2,649.9,0.294,0.658,32.7,76.3,0.0,17.7,55.6,0,0,6.91,16.9,2.84,2.85,330.2,3.72
seg_000113,43.58676872998159,-119.81055887699755,1,0,18.62,640.0,0.41,0,1,0,25.76,2.921,7,149.6,0.667,1.736,5.2,64.7,30.1,4.0,20.0,1,0,6.24,25.7,5.05,5.08,96.7,5.59
seg_000114,39.56828639973974,-100.75692304059902,2,1,43.02,32729.0,0.162,0,1,0,26.21,5.987,5,1080.5,0.279,1.167,49.6,81.2,0.0,34.3,0.6,0,0,7.39,18.4,1.81,1.92,56.8,17.45
seg_000115,45.043593574317505,-75.50948168310228,1,1,41.99,6187.0,0.356,0,1,0,0.58,0.092,1,22.1,0.789,0.557,14.1,9.5,82.9,11.0,3.2,0,0,6.27,14.8,11.37,15.85,661.2,15.27
